R2,RMSE,RRMSE,MAE,MSE,city,year,vehicle,direction,variable,temporal (%),spatial (%)
0.63,6.86,0.26,4.78,47.05,hyderabad,2021,truck,F,MEAN,41.72,58.28
0.28,0.91,0.51,0.61,0.82,imphal,2021,car,F,COUNT,54.42,45.58
0.7,7.33,0.23,5.24,53.66,imphal,2021,car,F,MEAN,41.27,58.73
0.35,0.96,0.53,0.63,0.92,imphal,2021,truck,F,COUNT,61.14,38.86
0.7,7.09,0.22,5.13,50.23,imphal,2021,truck,F,MEAN,46.81,53.19
0.8,2.86,0.67,1.62,8.16,indore,2021,car,F,COUNT,54.53,45.47
0.72,6.74,0.25,4.71,45.45,indore,2021,car,F,MEAN,37.93,62.07
0.68,2.34,0.77,1.16,5.46,indore,2021,truck,F,COUNT,45.88,54.12
0.69,6.91,0.25,4.81,47.81,indore,2021,truck,F,MEAN,36.73,63.27
0.77,2.21,0.7,1.21,4.87,jaipur,2021,car,F,COUNT,55.95,44.05
0.69,7.28,0.25,5.14,53.04,jaipur,2021,car,F,MEAN,33.92,66.08
0.69,2.68,0.84,1.24,7.17,jaipur,2021,truck,F,COUNT,48.01,51.99
0.68,7.33,0.25,5.15,53.68,jaipur,2021,truck,F,MEAN,34.26,65.74
0.63,1.98,0.75,1.11,3.91,kanpur,2021,car,F,COUNT,44.14,55.86
0.64,6.7,0.27,4.7,44.9,kanpur,2021,car,F,MEAN,34.68,65.32
0.61,2.09,0.82,1.01,4.35,kanpur,2021,truck,F,COUNT,32.51,67.49
0.63,6.93,0.27,4.83,48.05,kanpur,2021,truck,F,MEAN,35.8,64.2
0.76,1.81,0.64,1.08,3.28,kochi,2021,car,F,COUNT,58.07,41.93
0.65,7.23,0.25,5.07,52.28,kochi,2021,car,F,MEAN,44.42,55.58
0.39,0.96,0.53,0.62,0.91,kochi,2021,truck,F,COUNT,49.58,50.42
0.65,7.82,0.24,5.66,61.18,kochi,2021,truck,F,MEAN,45.42,54.58
0.33,0.91,0.43,0.6,0.84,kohima,2021,car,F,COUNT,56.3,43.7
0.41,6.45,0.27,4.68,41.65,kohima,2021,car,F,MEAN,38.86,61.14
0.36,1.03,0.46,0.68,1.07,kohima,2021,truck,F,COUNT,59.66,40.34
0.47,5.48,0.22,3.85,29.99,kohima,2021,truck,F,MEAN,42.54,57.46
0.86,3.62,0.73,1.78,13.13,kolkata,2021,car,F,COUNT,60.6,39.4
0.64,6.36,0.28,4.38,40.48,kolkata,2021,car,F,MEAN,41.62,58.38
0.49,1.4,0.63,0.83,1.95,kolkata,2021,truck,F,COUNT,45.77,54.23
0.64,6.17,0.26,4.24,38.06,kolkata,2021,truck,F,MEAN,34.81,65.19
0.7,2.35,0.76,1.27,5.51,lucknow,2021,car,F,COUNT,51.74,48.26
0.7,7.2,0.27,5.02,51.8,lucknow,2021,car,F,MEAN,39.52,60.48
0.59,2.33,0.86,1.14,5.43,lucknow,2021,truck,F,COUNT,49.88,50.12
0.68,7.32,0.29,5.1,53.56,lucknow,2021,truck,F,MEAN,42.74,57.26
0.36,1.01,0.63,0.63,1.02,madurai,2021,car,F,COUNT,49.94,50.06
0.7,6.89,0.22,4.84,47.5,madurai,2021,car,F,MEAN,32.11,67.89
0.44,1.36,0.6,0.86,1.86,madurai,2021,truck,F,COUNT,48.15,51.85
0.76,6.4,0.22,4.46,40.95,madurai,2021,truck,F,MEAN,30.84,69.16
0.87,3.15,0.65,1.68,9.92,mangaluru,2021,car,F,COUNT,58.06,41.94
0.79,6.7,0.23,4.69,44.86,mangaluru,2021,car,F,MEAN,36.35,63.65
0.25,3.13,1.49,0.79,9.78,mangaluru,2021,truck,F,COUNT,55.04,44.96
0.73,7.35,0.21,5.11,53.98,mangaluru,2021,truck,F,MEAN,28.97,71.03
0.8,2.18,0.65,1.26,4.75,meerut,2021,car,F,COUNT,46.53,53.47
0.75,7.38,0.25,5.27,54.53,meerut,2021,car,F,MEAN,31.18,68.82
0.67,3.17,0.94,1.35,10.06,meerut,2021,truck,F,COUNT,33.3,66.7
0.69,7.88,0.27,5.49,62.16,meerut,2021,truck,F,MEAN,31.84,68.16
0.87,5.66,0.82,2.53,32.03,mumbai,2021,car,F,COUNT,55.69,44.31
0.69,6.54,0.29,4.42,42.79,mumbai,2021,car,F,MEAN,36.41,63.59
0.75,2.87,0.82,1.35,8.22,mumbai,2021,truck,F,COUNT,40.95,59.05
0.69,6.63,0.28,4.49,43.98,mumbai,2021,truck,F,MEAN,36.31,63.69
0.51,1.56,0.72,0.88,2.45,mysuru,2021,car,F,COUNT,58.14,41.86
0.73,6.57,0.25,4.55,43.12,mysuru,2021,car,F,MEAN,34.15,65.85
0.6,1.95,1.02,0.69,3.8,mysuru,2021,truck,F,COUNT,45.88,54.12
0.67,8.05,0.25,5.67,64.88,mysuru,2021,truck,F,MEAN,28.08,71.92
0.76,2.58,0.77,1.32,6.66,patna,2021,car,F,COUNT,52.99,47.01
0.7,7.25,0.29,4.99,52.57,patna,2021,car,F,MEAN,40.52,59.48
0.61,2.3,0.76,1.19,5.29,patna,2021,truck,F,COUNT,42.73,57.27
0.69,6.8,0.28,4.69,46.3,patna,2021,truck,F,MEAN,39.59,60.41
0.81,2.89,0.76,1.41,8.32,pune,2021,car,F,COUNT,48.81,51.19
0.68,6.03,0.23,4.22,36.42,pune,2021,car,F,MEAN,38.92,61.08
0.7,2.08,0.7,1.14,4.33,pune,2021,truck,F,COUNT,37.54,62.46
0.66,5.9,0.23,4.1,34.81,pune,2021,truck,F,MEAN,36.1,63.9
0.45,1.18,0.63,0.73,1.4,ranchi,2021,car,F,COUNT,57.73,42.27
0.67,7.15,0.23,4.97,51.14,ranchi,2021,car,F,MEAN,40.43,59.57
0.39,1.18,0.63,0.69,1.4,ranchi,2021,truck,F,COUNT,53.68,46.32
0.67,6.69,0.24,4.67,44.73,ranchi,2021,truck,F,MEAN,39.97,60.03
0.31,0.85,0.51,0.56,0.72,rourkela,2021,car,F,COUNT,53.6,46.4
0.66,7.25,0.27,5.1,52.57,rourkela,2021,car,F,MEAN,28.16,71.84
0.53,1.64,0.67,0.93,2.69,rourkela,2021,truck,F,COUNT,47.2,52.8
0.66,6.51,0.25,4.5,42.36,rourkela,2021,truck,F,MEAN,25.26,74.74
0.36,0.89,0.47,0.59,0.79,shilong,2021,car,F,COUNT,47.24,52.76
0.57,6.49,0.3,4.5,42.17,shilong,2021,car,F,MEAN,47.51,52.49
0.43,1.06,0.54,0.69,1.13,shilong,2021,truck,F,COUNT,54.15,45.85
0.57,6.46,0.29,4.52,41.73,shilong,2021,truck,F,MEAN,51.37,48.63
0.44,1.22,0.68,0.71,1.48,shivamogga,2021,car,F,COUNT,63.26,36.74
0.73,8.03,0.25,5.7,64.41,shivamogga,2021,car,F,MEAN,30.4,69.6
0.59,1.08,0.62,0.61,1.16,shivamogga,2021,truck,F,COUNT,59.2,40.8
0.74,7.3,0.21,5.15,53.34,shivamogga,2021,truck,F,MEAN,31.64,68.36
0.64,1.92,0.75,1.06,3.69,surat,2021,car,F,COUNT,46.55,53.45
0.65,6.57,0.25,4.5,43.1,surat,2021,car,F,MEAN,26.67,73.33
0.59,1.74,0.73,0.93,3.03,surat,2021,truck,F,COUNT,29.98,70.02
0.69,6.85,0.23,4.73,46.99,surat,2021,truck,F,MEAN,22.87,77.13
0.43,1.14,0.61,0.72,1.3,tiruchirappalli,2021,car,F,COUNT,55.95,44.05
0.75,7.77,0.23,5.38,60.37,tiruchirappalli,2021,car,F,MEAN,27.79,72.21
0.52,1.54,0.62,0.96,2.37,tiruchirappalli,2021,truck,F,COUNT,34.92,65.08
0.74,7.5,0.22,5.24,56.24,tiruchirappalli,2021,truck,F,MEAN,24.26,75.74
0.3,0.72,0.51,0.5,0.52,tiruppur,2021,car,F,COUNT,52.88,47.12
0.72,7.02,0.23,4.99,49.28,tiruppur,2021,car,F,MEAN,37.52,62.48
0.5,1.32,0.58,0.83,1.74,tiruppur,2021,truck,F,COUNT,55.3,44.7
0.79,5.79,0.21,4.09,33.56,tiruppur,2021,truck,F,MEAN,31.54,68.46
0.85,2.89,0.72,1.51,8.37,vadodara,2021,car,F,COUNT,45.06,54.94
0.74,6.63,0.25,4.63,43.92,vadodara,2021,car,F,MEAN,34.04,65.96
0.87,2.15,0.65,1.07,4.63,vadodara,2021,truck,F,COUNT,26.9,73.1
0.71,6.17,0.21,4.28,38.06,vadodara,2021,truck,F,MEAN,32.49,67.51
0.46,1.47,0.7,0.87,2.16,varanashi,2021,car,F,COUNT,58.99,41.01
0.67,6.78,0.29,4.68,45.95,varanashi,2021,car,F,MEAN,39.14,60.86
0.46,1.49,0.67,0.87,2.22,varanashi,2021,truck,F,COUNT,57.44,42.56
0.67,6.41,0.28,4.46,41.05,varanashi,2021,truck,F,MEAN,42.15,57.85
0.91,3.33,0.64,1.72,11.06,vijaywada,2021,car,F,COUNT,56.71,43.29
0.68,6.78,0.25,4.6,45.91,vijaywada,2021,car,F,MEAN,34.08,65.92
0.55,1.45,0.66,0.86,2.12,vijaywada,2021,truck,F,COUNT,30.21,69.79
0.66,6.87,0.25,4.76,47.15,vijaywada,2021,truck,F,MEAN,29.65,70.35
0.56,1.8,0.71,1.04,3.26,vishakhapatnam,2021,car,F,COUNT,44.59,55.41
0.72,7.04,0.24,4.95,49.62,vishakhapatnam,2021,car,F,MEAN,26.35,73.65
0.46,1.6,0.67,0.97,2.54,vishakhapatnam,2021,truck,F,COUNT,33.26,66.74
0.68,7.37,0.24,5.27,54.38,vishakhapatnam,2021,truck,F,MEAN,30.03,69.97
