city,year,vehicle,COUNT,CO_TOTAL,CO_TOTAL_ff,MEAN,N2O_TOTAL,N2O_TOTAL_ff,NH3_TOTAL,NH3_TOTAL_ff,NOX_TOTAL,NOX_TOTAL_ff,PB_TOTAL,PB_TOTAL_ff,PM_10_TOTAL,PM_10_TOTAL_ff,PM_2.5_TOTAL,PM_2.5_TOTAL_ff,VOC_TOTAL,VOC_TOTAL_ff,co2,co2_ff,ff,road_length_km,co2_congestion,gini_bc,gini_co2_total_congestion,petrol,diesel
firozabad,2022,3w,15243317.662562184,1.4533346766332156,1.3771598867697719,11.81496622638604,0.007485035040121105,0.00744261230363598,0.16206226147867467,0.1606089789146308,0.37042728157959,0.36114950546443947,0.001959895603260932,0.0019545823986305676,0.029000239926409065,0.028898524416738656,0.025023922625865926,0.024920860992821224,0.5403403908050733,0.5358642299142181,2480.3528546294565,2408.260516042802,13.961255402347756,862.1640886875864,72.09233858665448,0.8415264866093515,0.5498019901450212,13806.6590166236,1805.3683197530097
firozabad,2022,hdv,427665922.0,25.845612020328463,24.479383932649327,12.765360442897679,0.35529440525230194,0.35529440525230194,0.10197315713633076,0.10197315713633076,102.91946559118821,97.20022285084582,5.208491813946813,5.094819831936785,3.056308830832468,2.971359316939123,2.199951360489829,2.1269915806821476,3.3913477658161266,3.2019614215541634,17612.443675151673,16440.65818499152,15.164980182955235,862.1640886875864,1171.7854901601531,0.8415264866093515,0.5498019901450212,13806.6590166236,1805.3683197530097
firozabad,2022,lmv,44547089.3916166,1.5855916459179047,1.4130042169192134,11.81496622638604,0.025645105754070238,0.02535584133351665,0.08283449165852551,0.0813258386734717,1.0978214463213565,1.0409925582836437,12.221956619822281,11.993295229906977,2.967948633526402,2.9262664094235253,1.3121726595542422,1.2946645952661144,0.5916852360604717,0.5818162092723423,14956.693522750345,13778.227603011635,13.961255402347756,862.1640886875864,1178.46591973871,0.8415264866093515,0.5498019901450212,13806.6590166236,1805.3683197530097
firozabad,2023,2w,375199080.40078264,37.20834493104799,34.852266128313914,12.80331097988978,0.21055777596724848,0.2090489646993724,0.288000266369147,0.28469329319508574,5.233075765487111,5.065252121431172,0.023841568392443554,0.02371219474801414,0.6770433178253407,0.6732585299956295,0.5801368917747615,0.57658838192023,9.650329133524538,9.552316836208416,20245.114678786875,19462.820870279094,15.326167986248189,862.1640886875864,782.2938085077803,0.8415264866093515,0.5213488544078932,14665.5905017565,1760.8420659831604
firozabad,2023,3w,16388724.411698055,1.723764149370319,1.614613253764226,12.80331097988978,0.009197179692927885,0.009131274701817377,0.19498804037620693,0.19274908335399232,0.4502355946480812,0.4357966334016449,0.002536119004166434,0.0025223570337761098,0.03717786750176349,0.03697003687002895,0.031856532554761924,0.03166167644182631,0.6596780221718599,0.6529780891905683,3033.2396710861294,2916.0319075313387,15.326167986248189,862.1640886875864,117.20776355479074,0.8415264866093515,0.5213488544078932,14665.5905017565,1760.8420659831604
firozabad,2023,hdv,345178604.0,24.03004528004079,22.906351338498855,12.218862449621296,0.32802285889064964,0.32802285889064964,0.09414594218057408,0.09414594218057408,95.72376660650298,91.01976347351814,4.818709863276725,4.7245966985051595,2.831382146314099,2.761389387858965,2.0396960073125707,1.9796292304780378,3.154158438881679,2.9983603447411893,16459.09526016762,15473.7974463892,14.527557085707082,862.1640886875864,985.2978137784212,0.8415264866093515,0.5213488544078932,14665.5905017565,1760.8420659831604
firozabad,2023,lmv,42065881.18751927,1.615616371418397,1.4113944015865594,12.80331097988978,0.02762050640672755,0.027246595376071214,0.08724243460551624,0.08532503424252466,1.1603244863536752,1.08811834487268,13.812148986747713,13.48475897041835,3.3293359486004275,3.2706804766665805,1.462353854610896,1.4380176465956993,0.6324964124608873,0.6201028539354333,15759.87493684918,14280.799020050858,15.326167986248189,862.1640886875864,1479.0759167983233,0.8415264866093515,0.5213488544078932,14665.5905017565,1760.8420659831604
gangtok,2021,2w,24495941.197851386,6.660475102851148,6.419215767547885,15.8296360413549,0.03262831594430922,0.03254198631811655,0.018158307077408724,0.018056126359377218,0.6147097257232889,0.6072909736566369,0.0010500292797748787,0.0010494697620117618,0.03455973883452926,0.034536281896673134,0.03323417528708749,0.03320591989751485,1.5909861553645195,1.5834213684083915,1487.766501338729,1469.7377547001224,17.330558588215315,200.07766322522923,18.028746638606663,0.8145264176103484,0.5778037794916046,3762.724652575568,757.9884368714021
gangtok,2021,3w,10378286.682796966,2.992890626240658,2.8844805215601244,15.8296360413549,0.013823760194060973,0.01378718459965496,0.11924456311040409,0.1185735481843963,0.5129807090842615,0.5067896947950481,0.0010833888497416516,0.0010828115560247344,0.018407152753601056,0.018394659156924394,0.017701133219738506,0.017686083879392897,1.0548833449492916,1.049867608174209,2162.0682907230303,2135.8683585470217,17.330558588215315,200.07766322522923,26.199932176008588,0.8145264176103484,0.5778037794916046,3762.724652575568,757.9884368714021
gangtok,2021,hdv,52429783.0,11.812243654024531,11.331909284053935,18.124011256303156,0.18166372003165843,0.18166372003165843,0.052139360470941976,0.052139360470941976,46.75131076702144,44.740419790241454,2.548964082501966,2.5071532826051777,1.4759928409853385,1.4457587753160561,1.0501777707390632,1.0243515191100276,1.539695100723402,1.4730165744197752,7781.976166738181,7408.035676928852,19.98234570963343,200.07766322522923,373.94048980932894,0.8145264176103484,0.5778037794916046,3762.724652575568,757.9884368714021
gangtok,2021,lmv,19631681.119351648,1.8952245216692614,1.7504058643883147,15.8296360413549,0.03033160948288578,0.03012679113565754,0.038760633651310675,0.03827863322386157,0.9335382705358163,0.9035321200999024,4.239378146907454,4.1851753481345595,1.1948235081873644,1.184482194788803,0.5902089385372726,0.5855981364856975,0.7360251523724225,0.7281982948322399,7658.874874417132,7296.282540450184,17.330558588215315,200.07766322522923,362.592333966948,0.8145264176103484,0.5778037794916046,3762.724652575568,757.9884368714021
gangtok,2022,2w,33351566.153144475,8.834147197489024,8.539883639143637,16.414573337770864,0.04466681929871475,0.04455576228008684,0.023734656579269937,0.02360914125164058,0.8322782966489835,0.8226808344805043,0.0014756044965523324,0.0014746361927989134,0.04849263403384256,0.04845688762039786,0.046551882229434016,0.04651057916421381,2.1444645851056863,2.135087690774477,2027.6212377317486,2003.7865176569771,17.734483272749763,200.07766322522923,23.83472007477144,0.8145264176103484,0.6214072376184493,4968.118316305022,929.9372223549678
gangtok,2022,3w,15350077.314903961,4.312340749902877,4.168697599579899,16.414573337770864,0.02055792901891871,0.020506814962850894,0.16932028270738742,0.1684248709415869,0.7545053454452446,0.7458047262677627,0.0016539246663641574,0.001652839347455158,0.02805787276847816,0.02803718986806775,0.02693495238503835,0.02691105440193254,1.5446131066948159,1.5378591253119223,3200.989615061048,3163.361930946544,17.734483272749763,200.07766322522923,37.62768411450406,0.8145264176103484,0.6214072376184493,4968.118316305022,929.9372223549678
gangtok,2022,hdv,52693133.0,14.771768899473194,14.14078576740222,19.186045107299197,0.23369345956429438,0.23369345956429438,0.06707243210587582,0.06707243210587582,58.367957121296755,55.726322973884166,3.24284182452484,3.1870919306076315,1.8722064218350374,1.8323254538519427,1.328248227094663,1.2942436116456664,1.921910225894778,1.834276773249223,9664.537270433946,9187.94643921433,20.904709905568218,200.07766322522923,476.5908312196152,0.8145264176103484,0.6214072376184493,4968.118316305022,929.9372223549678
gangtok,2022,lmv,26255811.53195155,2.4125604855689806,2.2454485552989816,16.414573337770864,0.04071465859936491,0.04046168436545962,0.04961706327727827,0.049047965082297876,1.2299791364066204,1.1934109975380127,5.8221622175095336,5.753087527953428,1.64132306807928,1.6281594079753905,0.8097026451727664,0.8038401413491443,0.971857500041702,0.9624716333561714,10069.64503302571,9635.085608656555,17.734483272749763,200.07766322522923,434.55942436915575,0.8145264176103484,0.6214072376184493,4968.118316305022,929.9372223549678
gangtok,2023,2w,27573387.194860816,9.423093898742279,9.082649160489764,16.322103535104528,0.0488047173896391,0.04867481627573974,0.023368898910725473,0.023236467813214715,0.9004098388726292,0.889072864770919,0.0017400171233488365,0.0017391750891459737,0.05680325102332101,0.0567641370698897,0.054234826000317364,0.0541866885683621,2.2600794926329097,2.2494511991513315,2251.7515846155825,2219.7456235148506,17.7892644934739,200.07766322522923,32.00596110073184,0.8145264176103484,0.6059831795177674,5623.627161660761,908.0911263976468
gangtok,2023,3w,15258996.23921688,5.530742891884749,5.330923985652584,16.322103535104528,0.027008324869254603,0.026936438140415204,0.200449877272526,0.19931393170040004,0.9814665332598212,0.9691089820771359,0.002344988884782953,0.0023438540908663737,0.03951788300700387,0.039490671525129264,0.03773103599133486,0.03769754689748907,1.9573390650608808,1.94813444456225,4274.245103178301,4213.491810744991,17.7892644934739,200.07766322522923,60.75329243330998,0.8145264176103484,0.6059831795177674,5623.627161660761,908.0911263976468
gangtok,2023,hdv,55255424.0,14.359866793405097,13.562964130745565,18.697546725476233,0.22432821609037865,0.22432821609037865,0.06438451067996022,0.06438451067996022,56.78268320502977,53.44640615285971,3.1277865682506185,3.057178963645722,1.8083584947888305,1.7579512172426963,1.2846275337523245,1.241662468085223,1.8698476847727719,1.7591605140619588,9429.955506820177,8829.247492214747,20.867125745631018,200.07766322522923,600.7080146054304,0.8145264176103484,0.6059831795177674,5623.627161660761,908.0911263976468
