city,year,gini_bc,gini_co2_car,gini_co2_truck,gini_co2_total,gini_co2_total_congestion
solapur,2021,0.8646815558609356,0.5095549872071715,0.5028967053889339,0.5027381496562539,0.553236492407802
solapur,2022,0.8646815558609356,0.5278651013948978,0.5189484964474649,0.5225726369519524,0.6249946604572104
solapur,2023,0.8646815558609356,0.5417185945745207,0.5099247572039397,0.5276230177622694,0.6281718783045462
srinagar,2021,0.9277907401653978,0.461344352785603,0.459710573964176,0.45689718302378274,0.5084449112128882
srinagar,2022,0.9277907401653978,0.4855592717306794,0.46044745013194704,0.4768763638597769,0.5992712730982208
srinagar,2023,0.9277907401653978,0.5503084398760115,0.48225990998019674,0.5191195484892218,0.7532594237068193
silchar,2021,0.8505839461822688,0.5020810372123454,0.5081924781427329,0.5009210495255518,0.4963281859192481
silchar,2022,0.8505839461822688,0.5066423819279708,0.5171498073523448,0.5059651184402729,0.5234585459080977
silchar,2023,0.8505839461822688,0.5081084144420788,0.5151428018384977,0.5061490174301589,0.5410052622587703
patna,2021,0.8974316318572181,0.4722509638043572,0.471432413012901,0.4695030832894204,0.6640815651790419
patna,2022,0.8974316318572181,0.519152131396672,0.49667923456613877,0.5132109035380202,0.7431579569989045
patna,2023,0.8974316318572181,0.5092552332256242,0.4665267892963732,0.49461839959406734,0.7194911601393796
erode,2021,0.8902221490495829,0.4838959470043239,0.4783460119953963,0.47635437900278094,0.49552143025068757
erode,2022,0.8902221490495829,0.48231657068727063,0.47601205441665323,0.47717257358886567,0.5329240720555883
erode,2023,0.8902221490495829,0.5080310600520822,0.46207318861975594,0.4859940438337618,0.6537110595488915
moradabad,2021,0.8863211090257258,0.5073030172990803,0.529696406970468,0.5092634446450103,0.6167273779067108
moradabad,2022,0.8863211090257258,0.5276755847361729,0.5450492965510623,0.5280902605100926,0.6327463329452127
moradabad,2023,0.8863211090257258,0.5418659413443567,0.5165240430307829,0.5280609201111078,0.6276433790647296
mangaluru,2021,0.9202924410651315,0.4972472009904518,0.477583961240429,0.47969570086479163,0.6248576690049353
mangaluru,2022,0.9202924410651315,0.5427094753781858,0.4711570811367279,0.5114641004785532,0.7352878423266077
mangaluru,2023,0.9202924410651315,0.556355799455359,0.46829665688416106,0.5060860054190728,0.7128971458779587
mumbai,2021,0.9410280782733949,0.5669186645959781,0.5196272926299002,0.5461052436088596,0.6968516776381503
mumbai,2022,0.9410280782733949,0.6898694333081877,0.5720133096313285,0.6598969234705175,0.7807309397627735
mumbai,2023,0.9410280782733949,0.7601236567245258,0.5663454451275893,0.6937967563665643,0.8095482909575786
cuttack,2021,0.8863067185077994,0.49821254325568565,0.5156283198481831,0.49897450189275155,0.6208139233215932
cuttack,2022,0.8863067185077994,0.5115673540633161,0.5301588143316208,0.5119522376614118,0.6726263711929874
cuttack,2023,0.8863067185077994,0.5086267830547012,0.5205486454778548,0.5084723699774241,0.6396018070897467
bareilly,2021,0.8743347141531682,0.4704469866760596,0.4716363678869622,0.4669602724035307,0.5243766165472802
bareilly,2022,0.8743347141531682,0.4829136964015103,0.48687454225994187,0.48217445624065053,0.549629873901155
bareilly,2023,0.8743347141531682,0.4906737515933877,0.4651284834205914,0.47829068277774,0.5524038750469203
udaipur,2021,0.8869764200274306,0.4638388430574526,0.4553484400718593,0.4571536685886191,0.5164457177719389
udaipur,2022,0.8869764200274306,0.47599081952046507,0.46221700479223415,0.4705546223721876,0.5914610755922423
udaipur,2023,0.8869764200274306,0.4690092767328105,0.44917760383801625,0.45844491377241303,0.5693697658700494
mysuru,2021,0.8776258760108085,0.5052647865689668,0.4737691458369151,0.48938003830059895,0.5049715110649633
mysuru,2022,0.8776258760108085,0.49598228304057435,0.47307921887657556,0.4863855945861445,0.5284379794199145
mysuru,2023,0.8776258760108085,0.4974191074270352,0.46808967678802377,0.4821450262238286,0.5509613648176497
kurnool,2021,0.8658595913071515,0.4642302260855128,0.4550026774646309,0.4546719635404234,0.5078999832216807
kurnool,2022,0.8658595913071515,0.459288337439358,0.4481031227765475,0.45321875658988164,0.5815062493286802
