city,year,vehicle,BC_TOTAL,BC_TOTAL_ff,CH4_TOTAL,CH4_TOTAL_ff,CO_TOTAL,CO_TOTAL_ff,N2O_TOTAL,N2O_TOTAL_ff,NH3_TOTAL,NH3_TOTAL_ff,NOX_TOTAL,NOX_TOTAL_ff,PB_TOTAL,PB_TOTAL_ff,PM_10_TOTAL,PM_10_TOTAL_ff,PM_2.5_TOTAL,PM_2.5_TOTAL_ff,VOC_TOTAL,VOC_TOTAL_ff,co2,co2_ff,mean_speed,vkt,weighted_speed,consumption,population_2020,urban_area_km2,gdp_billions,co2_congestion,lat,lon,co2_pc
agartala,2021,car,0.228728656844269,0.2269343819202685,0.4229257127451523,0.4161809725314644,25.29974164241317,24.05576385242225,0.1641509543654722,0.1632827262632308,0.3768495335264515,0.3735241806678957,4.430380744374667,4.316018363422677,9.077231713781554,8.932352624607036,2.668599515175145,2.6408766912225,1.3709817203461658,1.3585525635082245,7.239017161243587,7.185985824212861,24670.986463574023,23623.502882905374,14.60214436413188,24745477.431645032,15.899790565827637,8954.665225059276,649084,97.4924006921303,4.810943488,1047.4835806686497,23.8315,91.2868,0.03800892713974466
agartala,2021,truck,4.325745917597347,4.164373982603983,1.180340579148457,1.180340579148457,106.52474454220668,101.66477351225534,1.4900186904919364,1.4900186904919364,0.4276507251886134,0.4276507251886134,423.8091560741429,403.46414140658175,21.67559696222803,21.265545554891386,12.69896723927765,12.39564884985896,9.125269648060288,8.865195155469548,13.963264042607284,13.289283599230354,72559.12978214835,68461.80110962465,13.90793946056141,25001993.186394226,14.754658211325149,7801.872088247524,649084,97.4924006921303,4.810943488,4097.328672523698,23.8315,91.2868,0.11178696406343146
agartala,2022,car,0.2971465839415016,0.2918780711125124,0.5405100753663534,0.5210736485886386,30.20725189462904,27.17413753098933,0.21435554139617,0.2118535544550978,0.4886300036035368,0.4790472805782353,5.549277230405745,5.229638821934299,11.599333372072774,11.171157246552262,3.4490244587938426,3.367208768711245,1.7766739963236104,1.740028417829346,9.41560073913803,9.271409588530616,29821.162859141587,27187.944477283247,18.38531585840165,28607116.03724362,19.89467212091378,9784.90471260171,649084,97.4924006921303,4.810943488,2633.21838185834,23.8315,91.2868,0.04594345702427049
agartala,2022,truck,5.181563625284835,4.929001221842326,1.4190545708577815,1.4190545708577815,127.48934997432409,119.88304922617448,1.791362485335826,1.791362485335826,0.5141395009458701,0.5141395009458701,507.0973614878404,475.2555442243175,26.020425273237137,25.378631755931,15.233071075704228,14.75834489054201,10.940735298106464,10.53369243176305,16.707415032827406,15.652572472333578,86518.87660895349,80101.59762940124,13.86749083121859,28321548.843453903,14.95058223700441,8962.574714136179,649084,97.4924006921303,4.810943488,6417.278979552255,23.8315,91.2868,0.13329380574618
agartala,2023,car,0.3572760203977372,0.3514232437704335,0.6348773706375492,0.6142894602207006,33.05233742526597,31.37271555132871,0.2598075742989841,0.2571573606771068,0.5862573054044387,0.5761068674946997,6.343253955975121,6.03225226858232,13.596287530622904,13.113075432714812,4.114272141328218,4.022255718974672,2.1280097033439453,2.086891214681966,11.368180219245149,11.239430931359616,32939.85917562506,31008.58654303128,23.414893302789825,29904763.46424643,25.49855204395729,10373.307299935488,649084,97.4924006921303,4.810943488,1931.27263259378,23.8315,91.2868,0.050748222380500925
agartala,2023,truck,5.41586883504329,5.250221266687596,1.493655821720615,1.493655821720615,133.03157318094577,128.04497508103557,1.885536370469804,1.885536370469804,0.5411683768441168,0.5411683768441168,528.9014042478984,508.0260371606488,27.311418810387355,26.887162184272366,15.965663291718936,15.653740509900697,11.455812740345335,11.188627707642912,17.425942786889888,16.73422120882692,89753.1628915465,85654.16358570768,14.27221396479952,23286268.0617701,15.227573667968,9016.355181599938,649084,97.4924006921303,4.810943488,4098.999305838821,23.8315,91.2868,0.13827665277767823
agra,2021,car,0.8490831741808551,0.8426981163648051,1.579445324431718,1.5554637584525728,96.9098626175238,92.51687995287244,0.6082191202158683,0.6051320525365828,1.3999842115005965,1.3881606028137037,16.66786545174922,16.261780423779637,33.89767274747629,33.38195889825626,9.924853686915124,9.82617744593344,5.093895617502154,5.049657377250282,26.8646565442134,26.67656942476306,93870.43580797382,90159.235698461,13.206169304736909,78958849.54080392,13.94430205663073,33601.62917550692,2149488,168.516008253565,6.215020032,3711.2001095128217,27.1767,78.0081,0.043671067625394425
agra,2021,truck,26.78911613739114,25.997222363034663,7.448844242196782,7.448844242196782,656.8659680683895,633.0193512243313,9.403147989238525,9.403147989238525,2.698800412581448,2.698800412581448,2610.152466985703,2510.3244521527936,135.55365791495075,133.53750194201692,79.1922749308604,77.7031456328754,56.76993450978848,55.493423439721326,85.98825904015763,82.6809996573058,444282.8204096769,424587.7697248671,13.848280683174217,83836904.50978985,14.973744336271878,47795.16818242984,2149488,168.516008253565,6.215020032,19695.0506848098,27.1767,78.0081,0.20669239391412136
agra,2022,car,0.9576636887768885,0.9492311136462236,1.781628803659409,1.749935058001522,109.25970072541884,103.42108917882236,0.6859537868314098,0.6818739557669564,1.5790063628890865,1.5633804255834642,18.8025159578744,18.26524726076452,38.23911107986064,37.55818657922487,11.194683453601945,11.064389014140556,5.745469924398957,5.687054598747809,30.29740014372057,30.048311841226173,105838.87843128484,100921.89060203476,12.73928855878278,101954682.9062093,13.903440386853765,37209.25738370619,2149488,168.516008253565,6.215020032,4916.98782925008,27.1767,78.0081,0.04923911109589114
agra,2022,truck,30.259053698094643,29.19803638564819,8.320829392961574,8.320829392961574,743.7963444191046,711.8440678683634,10.503910087418962,10.503910087418962,3.014730482822102,3.014730482822102,2957.719041523608,2823.9588444194114,152.30316205749665,149.60405759356303,89.09596653298215,87.10113999314984,63.95591016096561,62.24572653201378,97.44781363777932,93.01651073821294,503823.004656782,477341.3521896192,13.268788665571218,83684702.36241572,14.363721095867612,52903.98147760459,2149488,168.516008253565,6.215020032,26481.65246716281,27.1767,78.0081,0.23439209926121105
