city,population_2020,state,population_state,GDP_2020(billion USD),urban_area_km2,oe,vkt_public_transport,rho_r,rho_i,rho_ratio,road_length_km,year,BC_TOTAL,BC_TOTAL_ff,CH4_TOTAL,CH4_TOTAL_ff,CO_TOTAL,CO_TOTAL_ff,N2O_TOTAL,N2O_TOTAL_ff,NH3_TOTAL,NH3_TOTAL_ff,NOX_TOTAL,NOX_TOTAL_ff,PB_TOTAL,PB_TOTAL_ff,PM_10_TOTAL,PM_10_TOTAL_ff,PM_2.5_TOTAL,PM_2.5_TOTAL_ff,VOC_TOTAL,VOC_TOTAL_ff,aadt,co2,co2_ff,mean_speed,vkt,weighted_speed,co2_congestion,consumption,gini_bc,gini_co2_total_congestion,co2_pc,lat,lon
agartala,649084,TRIPURA,4171328,4.810943488,81.19931638270943,3.388718898783244,34989762.696263395,10.533207264260732,60.0497666386548,0.1754079633255456,855.2892291753606,2021,0.6631179517928166,0.6451187858739271,0.541454937933728,0.5347101977200402,35.99690452662734,34.26489081650001,0.3137779044343407,0.3129096763320992,0.4197940107420937,0.416468657883538,46.9890894634572,44.831690633876136,11.25388458738372,11.067828335907318,3.9438236107938827,3.885641702134363,2.2873368471026567,2.2487911365829536,8.641201325129371,8.52048920074204,213.0763471401168,31957.33888199211,30498.403554703385,28.51008382469329,76938018.50447567,30.690083176901503,1458.9353272887229,9738.125414412001,1.7151462624829599,0.9972486173612116,0.04923451954137232,23.8315,91.2868
agartala,649084,TRIPURA,4171328,4.810943488,81.19931638270943,3.388718898783244,34989762.696263395,10.533207264260732,60.0497666386548,0.1754079633255456,855.2892291753606,2022,0.5724959753796196,0.5538062427959042,0.6159189366213749,0.59648250984366,36.98206302673045,33.54474822601067,0.3095489242922798,0.3070469373512076,0.5159514858698018,0.5063687628445002,32.496538710356546,30.4848193703665,12.98206429695899,12.519783127633392,4.2585130907506095,4.151470350372557,2.358066993510546,2.299791070656527,10.303436322077573,10.103190613792304,270.3646151734201,34418.794335851555,31444.560386204794,32.25280668962024,97314156.87065175,35.24041123140759,2974.233949646763,10261.177836261444,1.7151462624829599,0.9818114988288128,0.053026718168760215,23.8315,91.2868
agartala,649084,TRIPURA,4171328,4.810943488,81.19931638270943,3.388718898783244,34989762.696263395,10.533207264260732,60.0497666386548,0.1754079633255456,855.2892291753606,2023,0.8600494873503648,0.838819085309465,0.7735385049437028,0.7529505945268543,45.40210941929389,43.25956473622787,0.4348483086521452,0.4321980950302679,0.6364958007074488,0.62634536279771,55.44296460059295,53.19403180666121,16.1316991406391,15.6091018616481,5.596418797731071,5.475445525938794,3.1914916420045714,3.125569460841687,12.985889572395081,12.79292542507308,338.83175006168517,41271.94960310418,38960.15296691967,37.68710726758934,122089851.00231218,40.64754946147045,2311.796636184513,11210.326122215192,1.7151462624829599,1.0959282093067386,0.06358491289741262,23.8315,91.2868
agra,2149488,UTTAR PRADESH,232192037,6.215020032,132.9847871055812,3.453155089278717,79387499.99999999,19.29057548034162,195.6464387113949,0.0985991649395562,2565.353073397376,2021,3.5075843257480033,3.4226132294733285,2.318654520217188,2.2946729542380426,162.09599729920143,155.3365215402735,1.5413697187477609,1.5382826510684753,1.6678080533885127,1.65598444470162,275.69445310247147,265.3816249393101,47.34976104400082,46.63396769427415,17.783745074715018,17.53729046235214,10.727636405911824,10.556719624555527,35.397968524612885,34.88167524738003,261.6557101158157,137960.22151135723,132294.52187087038,27.054449987911127,299662560.3663395,28.857606842486664,5665.699640486862,38344.7311502296,1.8424237154040537,1.2064759838201633,0.06418282935813423,27.1767,78.0081
agra,2149488,UTTAR PRADESH,232192037,6.215020032,132.9847871055812,3.453155089278717,79387499.99999999,19.29057548034162,195.6464387113949,0.0985991649395562,2565.353073397376,2022,2.546718904308254,2.4825669695791666,2.21859743712546,2.186903691467573,148.32019059350637,140.8036041767224,1.2375669758762688,1.2334871448118154,1.7373250348788685,1.7216990975732462,174.1272302038281,166.56554028853884,46.23731672185079,45.41464866014829,15.87356111166162,15.63850828983878,9.104116682467842,8.955891006426477,35.41487533141927,34.93307700915982,274.95672963430275,132297.1603472509,125989.48765426743,26.008077224353997,317283452.1431428,28.272854422179243,6307.672692983462,39987.51173786188,1.8424237154040537,1.3005653694650519,0.06154822001669742,27.1767,78.0081
agra,2149488,UTTAR PRADESH,232192037,6.215020032,132.9847871055812,3.453155089278717,79387499.99999999,19.29057548034162,195.6464387113949,0.0985991649395562,2565.353073397376,2023,3.666019578640573,3.559904478006317,2.487076998860628,2.450189326269367,175.7585165027305,165.96884657657733,1.6146089453600347,1.6098605172582348,1.8053476243552184,1.7871609301890174,285.93608551779226,273.16549144845044,50.996415761470445,49.9611108947331,18.93007958212746,18.59774369090431,11.361320244330376,11.138252507747785,38.215808276045614,37.52215856504624,282.9505072909733,150294.53072801448,142103.1789323041,25.096949459373075,323983398.1698016,27.514445750082906,8191.35179571039,44269.606178670634,1.8424237154040537,1.343707889451876,0.06992108387114256,27.1767,78.0081
ahmedabad,7328758,GUJARAT,70846459,125.023608832,440.29280400546025,3.4437417055818145,156945675.96801347,23.93494406177986,294.0702160519396,0.0813919355149941,10538.383634674894,2021,23.079308804301867,22.6484669529196,15.110411024475647,14.98448677337388,1046.8578313357398,1011.496610675411,10.121931515974751,10.10572170357332,10.862746758206189,10.800662444341443,1818.399559777804,1766.1755797325845,308.39457890018195,304.67820293092825,116.34532190440271,115.08056319179282,70.30293848920057,69.43038550223747,230.94134605531207,228.28908362699173,417.34467640489345,891213.0499259934,861884.3413881452,28.103462081974527,1957386308.6568036,29.374822804244637,29328.7085378482,248273.59370231183,1.8673685827193391,1.212660515052034,0.12160492267939443,23.0225,72.5714
ahmedabad,7328758,GUJARAT,70846459,125.023608832,440.29280400546025,3.4437417055818145,156945675.96801347,23.93494406177986,294.0702160519396,0.0813919355149941,10538.383634674894,2022,18.92261600511987,18.578562210995784,15.808496257478065,15.618694611668014,1024.7802693207618,982.3753719323773,9.103230110587027,9.078797572413126,12.342807253486372,12.249229528406294,1316.7121954432369,1276.5484015893896,328.6094584419059,323.7565554253134,114.64153895667769,113.30460053954792,66.22727746567183,65.40246442528165,252.81966746900832,250.1248300128562,466.40657848275475,913306.7130994763,878182.478020656,28.943349022026382,2272586703.0500636,30.500286277021118,35124.23507882029,263345.1459150467,1.8673685827193391,1.3694697380350789,0.12461957579981169,23.0225,72.5714
ahmedabad,7328758,GUJARAT,70846459,125.023608832,440.29280400546025,3.4437417055818145,156945675.96801347,23.93494406177986,294.0702160519396,0.0813919355149941,10538.383634674894,2023,28.03161973555795,27.492204016868786,19.053405335633407,18.838953984354593,1282.0088579112225,1231.5106216990653,12.453415796837348,12.425810183597259,14.00823880452086,13.902508058576199,2167.739754588234,2103.481977850044,390.68878309388106,384.7704561232939,145.6764128990177,143.87384149014184,87.36939037185036,86.19123061036305,296.1993020820345,292.55735569689324,523.6995148340153,1102951.4680145215,1061211.893922606,28.605226024697537,2553873737.8518467,30.3743038400818,41739.57409191539,294579.77967347996,1.8673685827193391,1.397506095086469,0.15049636896381646,23.0225,72.5714
aizawl,369817,MIZORAM,1353442,2.378940928,102.4099542170358,3.576106787281274,31753721.886468567,6.90807976056403,22.605224440329863,0.3055966012989174,707.456132006994,2021,0.7919133347772088,0.7761975769179894,0.48755265431245837,0.4831121436904474,35.100686830945676,33.72042226301513,0.3337516597270447,0.3331800474798439,0.34434030657334763,0.34215100584084723,64.3515765161027,62.4339231577484,9.970502609466546,9.84241109041439,3.8239636344810313,3.7791039862892815,2.336284559730494,2.304951678879104,7.45486235537572,7.357183757065834,210.28129437134103,29647.043014960793,28459.889810913795,24.253597730745838,61549281.036993116,26.849489282345957,1187.1532040469974,8407.032381768591,1.7936903652686635,1.0961550946825778,0.08016679334633289,23.7271,92.7176
